transaction_id,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,purchase_date,browsing_time_mins
T000048,C0009,P004,Yoga Mat,Sports,3,29.99,97.22,2024-06-03,18
T000049,C0009,P013,Gaming Mouse,Electronics,2,59.99,136.32,2024-05-09,7
T000050,C0009,P006,Air Fryer,Kitchen,1,69.99,79.5,2024-07-21,30
T000051,C0009,P002,Smart Watch,Electronics,3,199.99,683.42,2024-04-30,34
T000052,C0009,P002,Smart Watch,Electronics,3,199.99,565.0,2024-07-04,33
T000053,C0009,P007,Novel - Bestseller,Books,3,14.99,40.51,2024-05-20,26
T000054,C0009,P002,Smart Watch,Electronics,2,199.99,423.5,2024-03-19,41
T000055,C0009,P006,Air Fryer,Kitchen,2,69.99,144.81,2024-05-07,23
T000056,C0009,P014,Protein Powder,Sports,2,44.99,83.34,2024-05-30,43
T000057,C0010,P006,Air Fryer,Kitchen,1,69.99,72.33,2024-03-04,8
T000058,C0011,P010,Vitamin C Serum,Beauty,1,44.99,40.33,2024-08-24,23
T000059,C0012,P005,Coffee Maker,Kitchen,1,49.99,49.35,2024-07-24,7
T000060,C0012,P013,Gaming Mouse,Electronics,3,59.99,187.39,2024-07-30,17
T000061,C0013,P001,Wireless Headphones,Electronics,2,79.99,182.18,2024-01-11,24
T000062,C0013,P012,Throw Pillow Set,Home,1,54.99,47.7,2024-04-12,2
T000063,C0014,P008,Cookbook,Books,2,24.99,47.82,2024-08-16,38
T000064,C0014,P009,Face Moisturizer,Beauty,1,34.99,33.33,2024-08-06,29
T000065,C0014,P002,Smart Watch,Electronics,3,199.99,517.31,2024-08-23,6
T000066,C0014,P015,Scented Candle,Home,2,19.99,43.14,2024-04-10,22
T000067,C0014,P007,Novel - Bestseller,Books,1,14.99,14.83,2024-09-22,38
T000068,C0014,P002,Smart Watch,Electronics,2,199.99,413.88,2024-10-08,6
T000069,C0014,P009,Face Moisturizer,Beauty,2,34.99,64.96,2024-07-23,11
T000070,C0014,P005,Coffee Maker,Kitchen,3,49.99,150.11,2024-02-24,2
T000071,C0014,P014,Protein Powder,Sports,3,44.99,152.96,2024-10-27,29
T000072,C0014,P011,Desk Lamp,Home,3,39.99,130.8,2024-05-24,13
T000073,C0014,P010,Vitamin C Serum,Beauty,3,44.99,140.77,2024-05-06,34
T000074,C0015,P015,Scented Candle,Home,3,19.99,57.76,2024-04-14,36
T000075,C0016,P014,Protein Powder,Sports,2,44.99,95.29,2024-05-28,12
T000076,C0016,P006,Air Fryer,Kitchen,1,69.99,79.81,2024-05-07,37
T000077,C0016,P010,Vitamin C Serum,Beauty,3,44.99,154.83,2024-06-01,37
T000078,C0016,P004,Yoga Mat,Sports,3,29.99,101.6,2024-09-05,38
T000079,C0016,P012,Throw Pillow Set,Home,1,54.99,57.96,2024-03-17,24
T000080,C0017,P002,Smart Watch,Electronics,1,199.99,224.31,2024-06-26,13
T000081,C0018,P001,Wireless Headphones,Electronics,3,79.99,260.22,2024-09-04,40
T000082,C0018,P011,Desk Lamp,Home,1,39.99,39.92,2024-07-10,40
T000083,C0018,P004,Yoga Mat,Sports,2,29.99,58.93,2024-03-18,24
T000084,C0018,P013,Gaming Mouse,Electronics,3,59.99,191.08,2024-03-20,13
T000085,C0018,P005,Coffee Maker,Kitchen,2,49.99,110.09,2024-10-18,18
T000086,C0018,P002,Smart Watch,Electronics,2,199.99,350.08,2024-02-17,14
T000087,C0018,P014,Protein Powder,Sports,2,44.99,87.19,2024-05-12,28
T000088,C0019,P004,Yoga Mat,Sports,1,29.99,32.27,2024-03-02,7
T000089,C0020,P014,Protein Powder,Sports,2,44.99,78.0,2024-01-27,29
T000090,C0020,P002,Smart Watch,Electronics,1,199.99,219.36,2024-02-16,40
T000091,C0020,P007,Novel - Bestseller,Books,3,14.99,46.09,2024-09-02,26
T000092,C0021,P005,Coffee Maker,Kitchen,3,49.99,168.83,2024-01-16,37
T000093,C0021,P008,Cookbook,Books,3,24.99,85.53,2024-01-02,19
T000094,C0022,P011,Desk Lamp,Home,2,39.99,90.79,2024-11-22,9
T000095,C0022,P014,Protein Powder,Sports,1,44.99,41.99,2024-07-01,29
T000096,C0022,P006,Air Fryer,Kitchen,2,69.99,135.29,2024-06-23,29
T000097,C0022,P003,Running Shoes,Sports,1,89.99,102.8,2024-04-28,28
T000098,C0023,P006,Air Fryer,Kitchen,2,69.99,136.48,2024-04-10,6
T000099,C0024,P006,Air Fryer,Kitchen,3,69.99,187.95,2024-03-14,22
T000100,C0024,P004,Yoga Mat,Sports,3,29.99,87.08,2024-01-16,28
T000101,C0025,P011,Desk Lamp,Home,2,39.99,89.89,2024-03-17,24
T000102,C0026,P005,Coffee Maker,Kitchen,1,49.99,45.6,2024-03-01,2
T000103,C0027,P012,Throw Pillow Set,Home,1,54.99,48.2,2024-08-07,18
T000104,C0027,P015,Scented Candle,Home,3,19.99,51.49,2024-06-10,16
T000105,C0027,P011,Desk Lamp,Home,1,39.99,41.66,2024-02-14,12
T000106,C0027,P011,Desk Lamp,Home,2,39.99,82.79,2024-06-19,35
T000107,C0028,P002,Smart Watch,Electronics,3,199.99,604.22,2024-10-19,18
T000108,C0028,P010,Vitamin C Serum,Beauty,1,44.99,40.23,2024-07-08,18
T000109,C0028,P011,Desk Lamp,Home,1,39.99,45.75,2024-02-19,3
T000110,C0028,P003,Running Shoes,Sports,2,89.99,187.18,2024-04-27,12
T000111,C0028,P009,Face Moisturizer,Beauty,1,34.99,34.57,2024-07-30,17
T000112,C0029,P012,Throw Pillow Set,Home,2,54.99,113.34,2024-08-31,20
T000113,C0029,P004,Yoga Mat,Sports,1,29.99,28.6,2024-02-29,43
T000114,C0029,P003,Running Shoes,Sports,1,89.99,91.31,2024-11-10,6
T000115,C0029,P008,Cookbook,Books,2,24.99,55.89,2024-04-13,15
T000116,C0029,P007,Novel - Bestseller,Books,1,14.99,14.19,2024-04-28,27
T000117,C0029,P005,Coffee Maker,Kitchen,3,49.99,155.72,2024-03-28,31
T000118,C0029,P015,Scented Candle,Home,3,19.99,57.76,2024-08-17,18
T000119,C0029,P011,Desk Lamp,Home,1,39.99,35.01,2024-11-06,36
T000120,C0029,P012,Throw Pillow Set,Home,3,54.99,166.78,2024-03-24,23
T000121,C0030,P009,Face Moisturizer,Beauty,1,34.99,38.84,2024-04-21,39
T000122,C0030,P004,Yoga Mat,Sports,3,29.99,83.02,2024-05-03,26
T000123,C0030,P011,Desk Lamp,Home,1,39.99,36.18,2024-08-19,40
T000124,C0030,P006,Air Fryer,Kitchen,3,69.99,184.09,2024-03-18,26
T000125,C0030,P014,Protein Powder,Sports,1,44.99,46.25,2024-07-24,5
T000126,C0030,P013,Gaming Mouse,Electronics,1,59.99,59.96,2024-10-10,37
T000127,C0030,P013,Gaming Mouse,Electronics,2,59.99,123.11,2024-08-27,9
T000128,C0031,P001,Wireless Headphones,Electronics,3,79.99,274.99,2024-02-10,38
T000129,C0031,P004,Yoga Mat,Sports,1,29.99,25.56,2024-04-13,22
T000130,C0031,P014,Protein Powder,Sports,2,44.99,83.12,2024-01-27,5
T000131,C0031,P001,Wireless Headphones,Electronics,3,79.99,210.3,2024-05-10,31
T000132,C0032,P013,Gaming Mouse,Electronics,3,59.99,199.7,2024-05-03,7
T000133,C0032,P006,Air Fryer,Kitchen,1,69.99,69.8,2024-08-13,39
T000134,C0032,P007,Novel - Bestseller,Books,1,14.99,15.97,2024-10-08,12
T000135,C0032,P005,Coffee Maker,Kitchen,3,49.99,165.2,2024-11-13,6
T000136,C0032,P002,Smart Watch,Electronics,3,199.99,545.88,2024-08-13,21
T000137,C0032,P004,Yoga Mat,Sports,3,29.99,95.56,2024-08-18,15
T000138,C0032,P015,Scented Candle,Home,1,19.99,20.03,2024-11-01,37
T000139,C0032,P010,Vitamin C Serum,Beauty,1,44.99,43.23,2024-03-25,11
T000140,C0032,P015,Scented Candle,Home,3,19.99,60.85,2024-03-23,3
T000141,C0032,P012,Throw Pillow Set,Home,2,54.99,96.38,2024-11-26,38
T000142,C0033,P006,Air Fryer,Kitchen,2,69.99,126.59,2024-08-06,36
T000143,C0033,P004,Yoga Mat,Sports,2,29.99,51.85,2024-12-20,30
T000144,C0033,P011,Desk Lamp,Home,1,39.99,43.0,2024-03-29,31
T000145,C0033,P008,Cookbook,Books,1,24.99,22.64,2024-03-05,20
T000146,C0033,P007,Novel - Bestseller,Books,2,14.99,33.65,2024-10-04,26
T000147,C0033,P015,Scented Candle,Home,2,19.99,38.69,2024-04-28,41
T000148,C0033,P015,Scented Candle,Home,2,19.99,44.77,2024-03-01,39
T000149,C0033,P011,Desk Lamp,Home,3,39.99,120.07,2024-11-28,26
T000150,C0033,P008,Cookbook,Books,1,24.99,24.18,2024-07-29,3
T000151,C0033,P003,Running Shoes,Sports,3,89.99,273.44,2024-09-08,7
T000152,C0033,P005,Coffee Maker,Kitchen,3,49.99,155.72,2024-08-09,9
T000153,C0033,P003,Running Shoes,Sports,3,89.99,300.64,2024-11-09,34
T000154,C0033,P004,Yoga Mat,Sports,3,29.99,97.76,2024-05-04,39
T000155,C0033,P012,Throw Pillow Set,Home,1,54.99,50.84,2024-09-15,34
T000156,C0033,P009,Face Moisturizer,Beauty,2,34.99,74.47,2024-04-11,6
T000157,C0033,P009,Face Moisturizer,Beauty,2,34.99,66.66,2024-08-20,39
T000158,C0033,P005,Coffee Maker,Kitchen,3,49.99,165.56,2024-07-15,25
T000159,C0033,P012,Throw Pillow Set,Home,3,54.99,179.68,2024-06-20,6
T000160,C0034,P010,Vitamin C Serum,Beauty,1,44.99,49.4,2024-01-25,11
T000161,C0034,P007,Novel - Bestseller,Books,2,14.99,29.09,2024-09-26,27
T000162,C0034,P015,Scented Candle,Home,1,19.99,17.83,2024-03-30,19
T000163,C0034,P010,Vitamin C Serum,Beauty,3,44.99,152.47,2024-07-15,37
T000164,C0034,P007,Novel - Bestseller,Books,1,14.99,15.92,2024-06-23,43
T000165,C0034,P006,Air Fryer,Kitchen,3,69.99,216.69,2024-08-03,30
T000166,C0034,P004,Yoga Mat,Sports,1,29.99,33.82,2024-01-12,24
T000167,C0035,P003,Running Shoes,Sports,3,89.99,233.91,2024-07-15,10
T000168,C0035,P009,Face Moisturizer,Beauty,1,34.99,29.79,2024-05-23,42
T000169,C0035,P008,Cookbook,Books,3,24.99,73.05,2024-02-24,27
T000170,C0035,P002,Smart Watch,Electronics,2,199.99,381.54,2024-09-27,19
T000171,C0035,P013,Gaming Mouse,Electronics,3,59.99,154.75,2024-11-24,25
T000172,C0035,P001,Wireless Headphones,Electronics,3,79.99,215.89,2024-11-16,25
T000173,C0035,P014,Protein Powder,Sports,1,44.99,48.78,2024-07-03,44
T000174,C0035,P002,Smart Watch,Electronics,2,199.99,341.55,2024-07-14,22
T000175,C0035,P003,Running Shoes,Sports,3,89.99,308.48,2024-10-23,42
T000176,C0035,P011,Desk Lamp,Home,2,39.99,88.63,2024-06-17,41
T000177,C0035,P003,Running Shoes,Sports,3,89.99,277.7,2024-10-23,14
T000178,C0035,P013,Gaming Mouse,Electronics,3,59.99,164.31,2024-05-10,20
T000179,C0035,P011,Desk Lamp,Home,2,39.99,72.56,2024-11-09,30
T000180,C0035,P007,Novel - Bestseller,Books,3,14.99,39.11,2024-02-29,15
T000181,C0036,P010,Vitamin C Serum,Beauty,3,44.99,153.03,2024-03-25,33
T000182,C0036,P002,Smart Watch,Electronics,2,199.99,447.67,2024-08-19,35
T000183,C0037,P007,Novel - Bestseller,Books,1,14.99,15.42,2024-02-12,38
T000184,C0037,P007,Novel - Bestseller,Books,3,14.99,47.03,2024-08-18,9
T000185,C0037,P010,Vitamin C Serum,Beauty,2,44.99,92.77,2024-01-07,44
T000186,C0037,P008,Cookbook,Books,2,24.99,45.56,2024-05-12,32
T000187,C0037,P009,Face Moisturizer,Beauty,2,34.99,61.28,2024-10-17,24
T000188,C0037,P005,Coffee Maker,Kitchen,3,49.99,133.0,2024-07-31,20
T000189,C0037,P009,Face Moisturizer,Beauty,1,34.99,34.17,2024-09-18,3
T000190,C0037,P014,Protein Powder,Sports,3,44.99,125.23,2024-04-10,3
T000191,C0037,P001,Wireless Headphones,Electronics,3,79.99,206.44,2024-04-12,21
T000192,C0037,P011,Desk Lamp,Home,1,39.99,38.9,2024-02-06,31
T000193,C0038,P012,Throw Pillow Set,Home,2,54.99,109.03,2024-09-06,33
T000194,C0038,P002,Smart Watch,Electronics,2,199.99,342.68,2024-04-09,15
T000195,C0038,P011,Desk Lamp,Home,2,39.99,83.18,2024-10-26,40
T000196,C0038,P015,Scented Candle,Home,2,19.99,41.72,2024-04-17,5
T000197,C0038,P009,Face Moisturizer,Beauty,2,34.99,78.39,2024-06-03,35
T000198,C0038,P013,Gaming Mouse,Electronics,1,59.99,51.32,2024-04-03,19
T000199,C0038,P005,Coffee Maker,Kitchen,1,49.99,54.71,2024-06-29,42
T000200,C0038,P013,Gaming Mouse,Electronics,1,59.99,58.28,2024-10-01,39
T000201,C0039,P011,Desk Lamp,Home,3,39.99,122.61,2024-02-17,18
T000202,C0040,P006,Air Fryer,Kitchen,1,69.99,67.67,2024-01-09,41
T000203,C0040,P002,Smart Watch,Electronics,1,199.99,213.28,2024-10-06,41
T000204,C0040,P005,Coffee Maker,Kitchen,2,49.99,99.26,2024-03-04,25
T000205,C0040,P007,Novel - Bestseller,Books,2,14.99,32.07,2024-02-14,34
T000206,C0040,P003,Running Shoes,Sports,3,89.99,250.72,2024-02-10,36
T000207,C0040,P008,Cookbook,Books,3,24.99,82.76,2024-02-16,44
T000208,C0040,P001,Wireless Headphones,Electronics,2,79.99,158.74,2024-03-30,10
T000209,C0041,P012,Throw Pillow Set,Home,3,54.99,153.69,2024-05-16,35
T000210,C0041,P015,Scented Candle,Home,3,19.99,56.63,2024-12-19,18
T000211,C0041,P012,Throw Pillow Set,Home,3,54.99,166.02,2024-11-04,13
T000212,C0041,P005,Coffee Maker,Kitchen,3,49.99,160.42,2024-10-12,22
T000213,C0041,P009,Face Moisturizer,Beauty,3,34.99,112.03,2024-10-11,17
T000214,C0041,P013,Gaming Mouse,Electronics,1,59.99,67.25,2024-06-16,13
T000215,C0041,P003,Running Shoes,Sports,3,89.99,309.47,2024-08-10,27
T000216,C0041,P009,Face Moisturizer,Beauty,2,34.99,71.83,2024-11-14,18
T000217,C0041,P015,Scented Candle,Home,1,19.99,19.83,2024-03-24,8
T000218,C0041,P002,Smart Watch,Electronics,3,199.99,635.5,2024-04-05,10
T000219,C0042,P014,Protein Powder,Sports,1,44.99,47.02,2024-07-09,25
T000220,C0042,P011,Desk Lamp,Home,1,39.99,34.91,2024-07-04,38
T000221,C0042,P005,Coffee Maker,Kitchen,2,49.99,106.72,2024-05-02,40
T000222,C0042,P014,Protein Powder,Sports,1,44.99,45.51,2024-10-05,23
T000223,C0042,P011,Desk Lamp,Home,1,39.99,44.62,2024-03-24,43
T000224,C0042,P009,Face Moisturizer,Beauty,2,34.99,68.25,2024-07-04,36
T000225,C0042,P010,Vitamin C Serum,Beauty,2,44.99,77.06,2024-05-03,14
T000226,C0042,P004,Yoga Mat,Sports,2,29.99,67.88,2024-06-01,36
T000227,C0042,P003,Running Shoes,Sports,2,89.99,171.92,2024-09-11,30
T000228,C0042,P006,Air Fryer,Kitchen,1,69.99,71.69,2024-02-18,11
T000229,C0042,P013,Gaming Mouse,Electronics,2,59.99,102.1,2024-08-16,15
T000230,C0043,P003,Running Shoes,Sports,3,89.99,306.41,2024-05-24,38
T000231,C0043,P009,Face Moisturizer,Beauty,3,34.99,116.91,2024-03-27,25
T000232,C0043,P013,Gaming Mouse,Electronics,2,59.99,124.06,2024-09-30,26
T000233,C0043,P015,Scented Candle,Home,3,19.99,58.2,2024-03-26,30
T000234,C0043,P009,Face Moisturizer,Beauty,2,34.99,72.24,2024-08-09,11
T000235,C0044,P015,Scented Candle,Home,1,19.99,20.1,2024-05-05,21
T000236,C0044,P001,Wireless Headphones,Electronics,1,79.99,74.24,2024-04-09,36
T000237,C0044,P010,Vitamin C Serum,Beauty,2,44.99,95.27,2024-06-11,25
T000238,C0044,P006,Air Fryer,Kitchen,3,69.99,192.61,2024-12-03,26
T000239,C0044,P008,Cookbook,Books,2,24.99,55.38,2024-09-29,12
T000240,C0044,P001,Wireless Headphones,Electronics,3,79.99,223.63,2024-08-23,30
T000241,C0044,P002,Smart Watch,Electronics,3,199.99,681.98,2024-07-22,13
T000242,C0044,P015,Scented Candle,Home,1,19.99,18.96,2024-06-19,26
T000243,C0044,P006,Air Fryer,Kitchen,3,69.99,183.95,2024-03-20,25
T000244,C0044,P015,Scented Candle,Home,3,19.99,51.07,2024-08-04,6
T000245,C0044,P014,Protein Powder,Sports,2,44.99,90.86,2024-06-13,38
T000246,C0044,P013,Gaming Mouse,Electronics,1,59.99,67.09,2024-06-13,14
T000247,C0044,P005,Coffee Maker,Kitchen,2,49.99,99.83,2024-09-16,33
T000248,C0044,P004,Yoga Mat,Sports,2,29.99,61.26,2024-08-13,41
T000249,C0044,P001,Wireless Headphones,Electronics,3,79.99,266.21,2024-10-27,34
T000250,C0044,P004,Yoga Mat,Sports,3,29.99,99.91,2024-03-19,29
T000251,C0044,P015,Scented Candle,Home,3,19.99,53.86,2024-10-08,14
T000252,C0044,P010,Vitamin C Serum,Beauty,1,44.99,50.79,2024-10-22,37
T000253,C0045,P002,Smart Watch,Electronics,2,199.99,438.37,2024-03-18,31
T000254,C0045,P002,Smart Watch,Electronics,3,199.99,510.18,2024-07-27,3
T000255,C0046,P012,Throw Pillow Set,Home,3,54.99,158.87,2024-04-11,25
T000256,C0047,P008,Cookbook,Books,1,24.99,27.16,2024-04-20,21
T000257,C0047,P014,Protein Powder,Sports,2,44.99,102.05,2024-02-21,18
T000258,C0048,P002,Smart Watch,Electronics,3,199.99,533.39,2024-04-03,13
T000259,C0049,P013,Gaming Mouse,Electronics,1,59.99,52.83,2024-12-27,42
T000260,C0049,P009,Face Moisturizer,Beauty,3,34.99,114.25,2024-11-22,30
T000261,C0049,P013,Gaming Mouse,Electronics,2,59.99,129.8,2024-10-17,21
T000262,C0049,P003,Running Shoes,Sports,3,89.99,251.61,2024-12-09,18
T000263,C0049,P003,Running Shoes,Sports,1,89.99,101.97,2024-05-09,17
T000264,C0049,P011,Desk Lamp,Home,2,39.99,86.22,2024-10-08,6
T000265,C0049,P008,Cookbook,Books,2,24.99,55.89,2024-04-18,16
T000266,C0049,P009,Face Moisturizer,Beauty,1,34.99,31.84,2024-07-22,26
T000267,C0049,P003,Running Shoes,Sports,2,89.99,199.65,2024-03-26,17
T000268,C0049,P005,Coffee Maker,Kitchen,2,49.99,91.09,2024-12-04,30
T000269,C0049,P009,Face Moisturizer,Beauty,3,34.99,103.51,2024-12-23,8
T000270,C0049,P014,Protein Powder,Sports,2,44.99,93.13,2024-07-03,16
T000271,C0049,P010,Vitamin C Serum,Beauty,2,44.99,79.65,2024-07-31,18
T000272,C0049,P007,Novel - Bestseller,Books,1,14.99,13.64,2024-05-09,23
T000273,C0049,P004,Yoga Mat,Sports,2,29.99,65.33,2024-09-05,12
T000274,C0049,P015,Scented Candle,Home,1,19.99,17.89,2024-10-28,22
T000275,C0049,P009,Face Moisturizer,Beauty,2,34.99,67.72,2024-04-01,32
T000276,C0049,P013,Gaming Mouse,Electronics,3,59.99,190.5,2024-07-18,34
T000277,C0049,P012,Throw Pillow Set,Home,1,54.99,47.4,2024-09-20,23
T000278,C0049,P012,Throw Pillow Set,Home,1,54.99,50.73,2024-07-05,33
T000279,C0050,P004,Yoga Mat,Sports,1,29.99,28.65,2024-02-25,34
T000280,C0050,P012,Throw Pillow Set,Home,2,54.99,106.58,2024-09-24,3
T000281,C0050,P005,Coffee Maker,Kitchen,3,49.99,136.51,2024-06-27,16
T000282,C0050,P007,Novel - Bestseller,Books,3,14.99,47.27,2024-08-26,41
T000283,C0050,P011,Desk Lamp,Home,2,39.99,82.25,2024-08-09,10
T000284,C0050,P011,Desk Lamp,Home,1,39.99,42.5,2024-05-01,9
T000285,C0050,P006,Air Fryer,Kitchen,2,69.99,151.88,2024-06-15,8
T000286,C0050,P008,Cookbook,Books,2,24.99,54.74,2024-09-17,27
T000287,C0050,P015,Scented Candle,Home,3,19.99,60.45,2024-12-07,43
T000288,C0050,P009,Face Moisturizer,Beauty,3,34.99,112.05,2024-11-26,13
T000289,C0050,P008,Cookbook,Books,1,24.99,24.83,2024-09-14,20
T000290,C0050,P002,Smart Watch,Electronics,2,199.99,380.41,2024-10-16,9
T000291,C0050,P004,Yoga Mat,Sports,3,29.99,88.18,2024-05-03,33
T000292,C0050,P004,Yoga Mat,Sports,2,29.99,51.36,2024-02-14,20
T000293,C0050,P002,Smart Watch,Electronics,1,199.99,229.77,2024-07-13,42
T000294,C0051,P006,Air Fryer,Kitchen,3,69.99,204.67,2024-03-06,25
T000295,C0051,P001,Wireless Headphones,Electronics,2,79.99,183.38,2024-10-01,25
T000296,C0051,P010,Vitamin C Serum,Beauty,1,44.99,45.18,2024-08-16,42
T000297,C0051,P009,Face Moisturizer,Beauty,1,34.99,33.89,2024-01-29,37
T000298,C0051,P004,Yoga Mat,Sports,3,29.99,100.79,2024-07-31,7
T000299,C0051,P010,Vitamin C Serum,Beauty,3,44.99,126.22,2024-02-05,13
T000300,C0051,P004,Yoga Mat,Sports,1,29.99,29.68,2024-05-27,22
T000301,C0052,P001,Wireless Headphones,Electronics,2,79.99,140.66,2024-08-28,15
T000302,C0052,P002,Smart Watch,Electronics,1,199.99,209.75,2024-02-20,40
T000303,C0052,P012,Throw Pillow Set,Home,3,54.99,155.67,2024-05-16,29
T000304,C0053,P011,Desk Lamp,Home,2,39.99,78.75,2024-03-18,13
T000305,C0053,P001,Wireless Headphones,Electronics,1,79.99,73.96,2024-03-31,44
T000306,C0053,P004,Yoga Mat,Sports,1,29.99,26.99,2024-12-12,21
T000307,C0053,P002,Smart Watch,Electronics,1,199.99,206.32,2024-03-04,38
T000308,C0053,P015,Scented Candle,Home,1,19.99,21.68,2024-05-23,29
T000309,C0053,P001,Wireless Headphones,Electronics,2,79.99,145.86,2024-05-20,21
T000310,C0053,P014,Protein Powder,Sports,1,44.99,45.41,2024-08-05,21
T000311,C0053,P006,Air Fryer,Kitchen,1,69.99,72.93,2024-03-06,36
T000312,C0054,P002,Smart Watch,Electronics,3,199.99,510.86,2024-03-18,35
T000313,C0054,P009,Face Moisturizer,Beauty,2,34.99,79.91,2024-03-17,40
T000314,C0054,P004,Yoga Mat,Sports,3,29.99,90.56,2024-03-11,24
T000315,C0054,P005,Coffee Maker,Kitchen,2,49.99,94.22,2024-05-22,17
T000316,C0054,P011,Desk Lamp,Home,3,39.99,107.82,2024-02-29,22
T000317,C0054,P008,Cookbook,Books,3,24.99,78.85,2024-06-13,33
T000318,C0054,P004,Yoga Mat,Sports,3,29.99,81.26,2024-10-15,35
T000319,C0054,P009,Face Moisturizer,Beauty,3,34.99,120.04,2024-04-10,44
T000320,C0055,P003,Running Shoes,Sports,1,89.99,92.71,2024-01-30,32
T000321,C0055,P012,Throw Pillow Set,Home,2,54.99,106.48,2024-01-18,6
T000322,C0056,P015,Scented Candle,Home,1,19.99,17.53,2024-07-21,32
T000323,C0056,P015,Scented Candle,Home,2,19.99,38.83,2024-01-13,5
T000324,C0057,P010,Vitamin C Serum,Beauty,3,44.99,114.96,2024-06-04,16
T000325,C0057,P010,Vitamin C Serum,Beauty,2,44.99,87.18,2024-05-24,22
T000326,C0058,P008,Cookbook,Books,2,24.99,51.77,2024-07-28,10
T000327,C0058,P004,Yoga Mat,Sports,1,29.99,33.26,2024-11-12,3
